Policy Name,Policy Name Variant,Id,Date,Url,Full Text,Hashtags,Views Count,Favourite Count,Retweet Count,Reply Count,Language,Image Urls,Video Urls,User Mentions,User Profile Id,User Description,User Name,User Followers Count
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha Placement Agency,National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha,1782431436701663450,Mon Apr 22 15:29:05 +0000 2024,https://twitter.com/UpAndAdamsShow/status/1782431436701663450,"We think @BoNix10 would be a PERFECT fit with Sean Payton in Denver 👀 #BroncosCountry

""I hear that a lot...""

@heykayadams https://t.co/B8pNL7tzwW",['BroncosCountry'],73486,310,41,21,en,[],['https://video.twimg.com/amplify_video/1782431399775002624/vid/avc1/480x270/PsCm-07-KZb6lm9O.mp4?tag=16'],"['BoNix10', 'heykayadams']",1030134435721752578,"Hosted by @heykayadams 🎙️
Now streaming LIVE on YouTube! Subscribe here ➡️ https://t.co/d70yBmTIfv",UpAndAdamsShow,96221
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha Placement Agency,National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha,1782429980774809855,Mon Apr 22 15:23:18 +0000 2024,https://twitter.com/UpAndAdamsShow/status/1782429980774809855,"""I've been in a lot more situations than guys who are a little younger..."" 

First-team All-@pac12 QB 
@BoNix10 on why his age and experience is an asset heading into the NFL 🔊

@heykayadams https://t.co/5ckE09JR8D",[],26953,31,6,4,en,[],['https://video.twimg.com/amplify_video/1782429946272456704/vid/avc1/480x270/g_U5UQljPzUoGBZm.mp4?tag=16'],"['pac12', 'BoNix10', 'heykayadams']",1030134435721752578,"Hosted by @heykayadams 🎙️
Now streaming LIVE on YouTube! Subscribe here ➡️ https://t.co/d70yBmTIfv",UpAndAdamsShow,96221
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha Placement Agency,National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha,1782428675050193098,Mon Apr 22 15:18:06 +0000 2024,https://twitter.com/UpAndAdamsShow/status/1782428675050193098,".@BoNix10 on what NFL team his adopted brother @oregonfootball WR Tez Johnson wants him drafted to... 

""He wants me to go somewhere he can go join me when he's ready."" 🤝

@heykayadams @tezMania15 https://t.co/QAZ703uq33",[],6285,25,5,3,en,[],['https://video.twimg.com/amplify_video/1782428607895191553/vid/avc1/480x270/o7TgVuUKQzUCJKaK.mp4?tag=16'],"['BoNix10', 'oregonfootball', 'heykayadams', 'tezMania15']",1030134435721752578,"Hosted by @heykayadams 🎙️
Now streaming LIVE on YouTube! Subscribe here ➡️ https://t.co/d70yBmTIfv",UpAndAdamsShow,96221
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha Placement Agency,National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha,1782425611291488448,Mon Apr 22 15:05:56 +0000 2024,https://twitter.com/UpAndAdamsShow/status/1782425611291488448,"Happy Draft Week ☀️

We got @BoNix10 @m_lloyd_2 @WigginNathaniel on LIVE right now 😍

Come hang for a bit @heykayadams 
https://t.co/YW4TMq5UjR https://t.co/EFqd48mX1w",[],4770,32,6,2,en,[],['https://video.twimg.com/amplify_video/1782425575203749888/vid/avc1/480x270/9zfjyBjAhJKDJdzl.mp4?tag=16'],"['BoNix10', 'm_lloyd_2', 'WigginNathaniel', 'heykayadams']",1030134435721752578,"Hosted by @heykayadams 🎙️
Now streaming LIVE on YouTube! Subscribe here ➡️ https://t.co/d70yBmTIfv",UpAndAdamsShow,96221
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha Placement Agency,National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha,1782423056918675733,Mon Apr 22 14:55:47 +0000 2024,https://twitter.com/UpAndAdamsShow/status/1782423056918675733,"RT @UpAndAdamsShow: BIG Monday energy 😤

🔸 First-team All-@pac12 QB @BoNix10 
🔸 @uscfb RB Marshawn Lloyd 
🔸 First-team All-@theACC Nate Wig…",[],0,0,7,0,en,[],[],"['UpAndAdamsShow', 'pac12', 'BoNix10', 'uscfb', 'theACC']",1030134435721752578,"Hosted by @heykayadams 🎙️
Now streaming LIVE on YouTube! Subscribe here ➡️ https://t.co/d70yBmTIfv",UpAndAdamsShow,96221
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha Placement Agency,National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha,1782186784312713660,Sun Apr 21 23:16:55 +0000 2024,https://twitter.com/UpAndAdamsShow/status/1782186784312713660,"We got Bo on the @UpAndAdamsShow tmrw morning… diving into all things draft related w/@heykayadams 🙌

Tune in at 11am ET @BoNix10 
https://t.co/D5UzsILOkS",[],98983,50,8,7,en,[],[],"['UpAndAdamsShow', 'heykayadams', 'BoNix10']",1030134435721752578,"Hosted by @heykayadams 🎙️
Now streaming LIVE on YouTube! Subscribe here ➡️ https://t.co/d70yBmTIfv",UpAndAdamsShow,96221
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha Placement Agency,National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha,1782168081730863428,Sun Apr 21 22:02:36 +0000 2024,https://twitter.com/UpAndAdamsShow/status/1782168081730863428,"BIG Monday energy 😤

🔸 First-team All-@pac12 QB @BoNix10 
🔸 @uscfb RB Marshawn Lloyd 
🔸 First-team All-@theACC Nate Wiggins

Subscribe and tune in at 11am ET 🧡 @heykayadams @m_lloyd_2 @WigginNathaniel 
https://t.co/D5UzsILOkS https://t.co/GcTs61hnFh",[],12302,30,7,3,en,['https://pbs.twimg.com/media/GLuIbHkbsAANSlp.jpg'],[],"['pac12', 'BoNix10', 'uscfb', 'theACC', 'heykayadams', 'm_lloyd_2', 'WigginNathaniel']",1030134435721752578,"Hosted by @heykayadams 🎙️
Now streaming LIVE on YouTube! Subscribe here ➡️ https://t.co/d70yBmTIfv",UpAndAdamsShow,96221
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha Placement Agency,National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha,1781329406914687337,Fri Apr 19 14:30:00 +0000 2024,https://twitter.com/UpAndAdamsShow/status/1781329406914687337,"""I wouldn't be in this position without Kool-Aid (McKinstry)... because he tells you what you don't wanna hear."" 

@ArnoldTerrion says him and fellow @AlabamaFTBL All-American CB Kool-Aid McKinstry pushed each other everyday at Alabama 💪 #RollTide 

@GaQMcK1 @heykayadams https://t.co/gT8STLTUgy",['RollTide'],34924,179,22,1,en,[],['https://video.twimg.com/ext_tw_video/1781265588209516544/pu/vid/avc1/480x270/nbu2eNFkz0J5mRtM.mp4?tag=12'],"['ArnoldTerrion', 'AlabamaFTBL', 'GaQMcK1', 'heykayadams']",1030134435721752578,"Hosted by @heykayadams 🎙️
Now streaming LIVE on YouTube! Subscribe here ➡️ https://t.co/d70yBmTIfv",UpAndAdamsShow,96221
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha Placement Agency,National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha,1781321858908045400,Fri Apr 19 14:00:01 +0000 2024,https://twitter.com/UpAndAdamsShow/status/1781321858908045400,"With great playmakers, comes great responsibility... and for new #Eagles OC Kellen Moore the pressure is ON to maximize the abundance of offensive talent in Philly 👀🦅 #FlyEaglesFly 

@heykayadams https://t.co/7g9zXPKDaX","['Eagles', 'FlyEaglesFly']",12540,86,13,8,en,[],['https://video.twimg.com/ext_tw_video/1781263923712512000/pu/vid/avc1/480x270/hSDQ0UmWIGK1Gj2k.mp4?tag=12'],['heykayadams'],1030134435721752578,"Hosted by @heykayadams 🎙️
Now streaming LIVE on YouTube! Subscribe here ➡️ https://t.co/d70yBmTIfv",UpAndAdamsShow,96221
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha Placement Agency,National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha,1781306767214833762,Fri Apr 19 13:00:03 +0000 2024,https://twitter.com/UpAndAdamsShow/status/1781306767214833762,"All-American CB... AND future actor/director/producer @ArnoldTerrion already has a title for his own biopic movie 😅🎥

@heykayadams @AlabamaFTBL https://t.co/dCfHiv30V3",[],32777,60,18,4,en,[],['https://video.twimg.com/ext_tw_video/1781259237798383616/pu/vid/avc1/480x270/gZb22LN_k0uQ-UWH.mp4?tag=12'],"['ArnoldTerrion', 'heykayadams', 'AlabamaFTBL']",1030134435721752578,"Hosted by @heykayadams 🎙️
Now streaming LIVE on YouTube! Subscribe here ➡️ https://t.co/d70yBmTIfv",UpAndAdamsShow,96221
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha Placement Agency,National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha,1781306757035315376,Fri Apr 19 13:00:00 +0000 2024,https://twitter.com/UpAndAdamsShow/status/1781306757035315376,".@AlabamaFTBL All-American @ArnoldTerrion can't wait to get 'tested' by opposing offenses as a rookie CB in the NFL 😏🙌

@heykayadams https://t.co/TgHjYUkVSY",[],22449,49,8,4,en,[],['https://video.twimg.com/ext_tw_video/1781256680988405761/pu/vid/avc1/480x270/WTQYQy3PxS9cs8yE.mp4?tag=12'],"['AlabamaFTBL', 'ArnoldTerrion', 'heykayadams']",1030134435721752578,"Hosted by @heykayadams 🎙️
Now streaming LIVE on YouTube! Subscribe here ➡️ https://t.co/d70yBmTIfv",UpAndAdamsShow,96221
Cultural Function And Production Grant Scheme,Cultural Function And Production Grant Scheme,1727950420310630652,Fri Nov 24 07:20:58 +0000 2023,https://twitter.com/nczccofficial/status/1727950420310630652,"The 46th Expert Committee Meeting for the Cultural Function Production Grant Scheme commenced on 23rd Nov. at NCZCC, Prayagraj, to examine the over 3000 proposals received. It will continue over the next two days. 
 #CultureUnitesAll #AmritMahotsav https://t.co/qUKUYma9qW","['CultureUnitesAll', 'AmritMahotsav']",53,2,0,0,en,"['https://pbs.twimg.com/media/F_rpn-1bcAAfb4t.jpg', 'https://pbs.twimg.com/media/F_rpsBka8AAh6BI.jpg', 'https://pbs.twimg.com/media/F_rpsm0bcAAJOn1.jpg']",[],[],2253651762,"North Central Zone Cultural Centre (NCZCC) is an autonomous body under Ministry of Culture, Govt. of India",nczccofficial,2434
Cultural Function And Production Grant Scheme,Cultural Function And Production Grant Scheme,1727912181059244453,Fri Nov 24 04:49:01 +0000 2023,https://twitter.com/MinOfCultureGoI/status/1727912181059244453,"The 46th Expert Committee Meeting for the Cultural Function Production Grant Scheme commenced on 23rd Nov. at NCZCC, Prayagraj, to examine the over 3000 proposals received. It will continue over the next two days.

#CultureUnitesAll #AmritMahotsav https://t.co/SyPDNEpeYj","['CultureUnitesAll', 'AmritMahotsav']",1803,24,12,2,en,"['https://pbs.twimg.com/media/F_rG40qbwAANp4M.jpg', 'https://pbs.twimg.com/media/F_rG7VwaQAA7a6R.jpg', 'https://pbs.twimg.com/media/F_rG8vMboAAdrS-.jpg']",[],[],2673476378,Official Twitter account of Ministry of Culture (Govt. of India),MinOfCultureGoI,562213
Cultural Function And Production Grant Scheme,Cultural Function And Production Grant Scheme,1720703122912501882,Sat Nov 04 07:22:48 +0000 2023,https://twitter.com/nczccofficial/status/1720703122912501882,"The Ministry of Culture's Performing Arts Bureau announces the Expert Committee meeting for the “Cultural Function Production Grant"" Scheme. It is scheduled from Nov 24  Nov 25, 2023 at  North Central Zone Cultural Centre.  
 #CultureUnitesAll #G20India #AmritMahotsav  
 (1/2) https://t.co/pFfifhBMJo","['CultureUnitesAll', 'G20India', 'AmritMahotsav']",36,1,0,1,en,"['https://pbs.twimg.com/media/F-EqRdbboAAs7U_.jpg', 'https://pbs.twimg.com/media/F-EqRy_awAAWfAp.jpg']",[],[],2253651762,"North Central Zone Cultural Centre (NCZCC) is an autonomous body under Ministry of Culture, Govt. of India",nczccofficial,2434
Cultural Function And Production Grant Scheme,Cultural Function And Production Grant Scheme,1720464544626364796,Fri Nov 03 15:34:46 +0000 2023,https://twitter.com/MinOfCultureGoI/status/1720464544626364796,"The Ministry of Culture's Performing Arts Bureau announces the Expert Committee meeting for the “Cultural Function Production Grant"" Scheme. It is scheduled from Nov 24 - Nov 25, 2023 at North Central Zone Cultural Centre. 

#CultureUnitesAll #G20India #AmritMahotsav 

(1/2) https://t.co/Ci6tWmLgJi","['CultureUnitesAll', 'G20India', 'AmritMahotsav']",2432,15,8,1,en,"['https://pbs.twimg.com/media/F-BQtb4WgAAlesL.jpg', 'https://pbs.twimg.com/media/F-BQtb7WAAA_-un.jpg']",[],[],2673476378,Official Twitter account of Ministry of Culture (Govt. of India),MinOfCultureGoI,562213
Cultural Function And Production Grant Scheme,Cultural Function And Production Grant Scheme,1587029674001018881,Mon Oct 31 10:32:14 +0000 2022,https://twitter.com/MinOfCultureGoI/status/1587029674001018881,"The meeting of the Expert Committee for the Cultural Production Function Grant Scheme (CFPGS) is scheduled to be held from 5th to 7th November, 2022 at NCZCC, Prayagraj. 

#AmritMahotsav https://t.co/TLuURpt1ZT",['AmritMahotsav'],0,33,24,0,en,['https://pbs.twimg.com/media/FgZDEweVUAA-dGo.jpg'],[],[],2673476378,Official Twitter account of Ministry of Culture (Govt. of India),MinOfCultureGoI,562213
Cultural Function And Production Grant Scheme,Cultural Function And Production Grant Scheme,1458396804429455361,Wed Nov 10 11:31:08 +0000 2021,https://twitter.com/MinOfCultureGoI/status/1458396804429455361,"The 44th meeting of the Expert Committee of Cultural Function &amp; Production Grant Scheme to examine the applications received for 2021-22 is scheduled to be held during 15th – 17th November 2021, extended upto 18th November (if required) at @nsd_india. #AmritMahotsav https://t.co/a96Zn0eKGQ",['AmritMahotsav'],0,32,13,2,en,['https://pbs.twimg.com/media/FD1ECtSUUAEucWH.jpg'],[],['nsd_india'],2673476378,Official Twitter account of Ministry of Culture (Govt. of India),MinOfCultureGoI,562213
Cultural Function And Production Grant Scheme,Cultural Function And Production Grant Scheme,1457651848198852611,Mon Nov 08 10:10:57 +0000 2021,https://twitter.com/ncsmgoi/status/1457651848198852611,"The 44th meeting of the Expert Committee of Cultural Function &amp; Production Grant Scheme to examine the applications received for 2021-22 is scheduled to be held during 15–17 November 2021, extended upto November 18(if required) at @nsd_india #AmritMahotsav https://t.co/yW2clYq28q",['AmritMahotsav'],0,0,0,0,en,['https://pbs.twimg.com/media/FDk_LvOVUAMNRtL.jpg'],[],['nsd_india'],1585375986,"National Council of Science Museums (NCSM) under the Ministry of Culture, Govt. of India is the Largest Network of Science Centres/Museums in the World.",ncsmgoi,6604
